Subject,Block,Cond,N1_ave
1,Can,Test2,-8.305228074865004e-07
2,Can,Test2,-2.9798379604508522e-06
3,Can,Test2,-4.285724624219207e-06
4,Can,Test2,-1.6981580602651706e-07
5,Can,Test2,1.4112582091438762e-06
7,Can,Test2,1.4577766858814917e-07
6,Can,Test2,-1.2028630953097286e-06
8,Can,Test2,-1.6923651509550278e-06
9,Can,Test2,-5.12516565490236e-06
10,Can,Test2,-1.1555706602152424e-06
11,Can,Test2,-4.446364953889597e-07
15,Can,Test2,-8.703003836710873e-07
16,Can,Test2,-2.266470428868967e-07
21,Can,Test2,-7.624440244520574e-07
22,Can,Test2,-2.1367988828169963e-06
24,Can,Test2,-1.6222629455894723e-06
25,Can,Test2,-1.7576108735876268e-06
27,Can,Test2,-1.7575691663374635e-06
29,Can,Test2,-4.879992100040884e-06
30,Can,Test2,-4.528596851961445e-08
31,Can,Test2,-5.277074958855484e-07
32,Can,Test2,-1.4178936281770885e-06
33,Can,Test2,-8.183800109417728e-07
1,Can,Test1,-1.5924253370955323e-06
2,Can,Test1,-2.9282970340016064e-06
3,Can,Test1,-3.4529674684321668e-06
4,Can,Test1,9.61452454449942e-07
5,Can,Test1,1.4119735120567597e-06
7,Can,Test1,-8.555528991004908e-07
6,Can,Test1,2.162539150267117e-08
8,Can,Test1,-1.2813913024230196e-06
9,Can,Test1,-4.276231272550626e-06
10,Can,Test1,3.2666876973707847e-07
11,Can,Test1,-1.4584359320736336e-06
15,Can,Test1,-6.27709973004726e-07
16,Can,Test1,1.070627651974992e-06
21,Can,Test1,-3.3654480785760894e-07
22,Can,Test1,-2.914102915416214e-06
24,Can,Test1,5.079801331577464e-07
25,Can,Test1,-1.2627420970314858e-06
27,Can,Test1,-1.372379910344694e-06
29,Can,Test1,-5.454935048527932e-06
30,Can,Test1,7.081971930729838e-07
31,Can,Test1,-4.280807570376498e-07
32,Can,Test1,-4.1224853061864e-07
33,Can,Test1,-1.1080407522761656e-06
1,Rev,Test2,-1.5647351751683144e-06
2,Rev,Test2,-2.576770367889781e-06
3,Rev,Test2,-2.1374219682476014e-06
4,Rev,Test2,1.1353689230994669e-06
5,Rev,Test2,1.961421970167123e-06
7,Rev,Test2,1.46043884204505e-07
6,Rev,Test2,-9.145811720662012e-07
8,Rev,Test2,-1.4687949385462089e-06
9,Rev,Test2,-4.597949079900801e-06
10,Rev,Test2,-1.449214698106539e-06
11,Rev,Test2,-1.6475015165238982e-06
15,Rev,Test2,6.467059454311722e-07
16,Rev,Test2,-7.297515832313901e-07
21,Rev,Test2,3.106772002643741e-08
22,Rev,Test2,-1.9830448649107197e-06
24,Rev,Test2,-2.1320160108340517e-06
25,Rev,Test2,-2.7912025840378807e-06
27,Rev,Test2,-6.874620527538989e-07
29,Rev,Test2,-4.030581908509374e-06
30,Rev,Test2,-1.821916988031696e-07
31,Rev,Test2,1.3690112887252695e-07
32,Rev,Test2,-7.493302597661261e-07
33,Rev,Test2,-5.800006374751137e-07
1,Rev,Test1,-1.869718850457802e-06
2,Rev,Test1,-3.2274492876755723e-06
3,Rev,Test1,-1.8425130741974569e-06
4,Rev,Test1,-4.1123062207819664e-07
5,Rev,Test1,2.646414598403913e-06
7,Rev,Test1,-1.318130046778074e-06
6,Rev,Test1,-2.295284997295867e-06
8,Rev,Test1,-2.8012039207511994e-06
9,Rev,Test1,-3.9510822846412224e-06
10,Rev,Test1,-4.884369772780951e-07
11,Rev,Test1,5.697996192341475e-07
15,Rev,Test1,-1.3216236684702952e-06
16,Rev,Test1,-5.134068153104774e-07
21,Rev,Test1,-1.0361396490976765e-06
22,Rev,Test1,-2.9425044152221283e-06
24,Rev,Test1,-2.5115937017297758e-06
25,Rev,Test1,-2.6693869517608266e-06
27,Rev,Test1,-3.919987533103592e-07
29,Rev,Test1,-3.909073495550911e-06
30,Rev,Test1,-2.8528976641665845e-07
31,Rev,Test1,-5.886661643540778e-07
32,Rev,Test1,-6.744425705990133e-07
33,Rev,Test1,3.7581150264984095e-07
